2021,联合
服务器,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
服务器,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
横須賀,4280,3986,3676,3551,3657,3784,2907,3576,3738,3495,3605,3551
呉,4306,4104,3704,3659,3807,3852,3166,3643,3765,3699,3645,3633
佐世保,4245,3997,3650,3540,3641,3750,2917,3503,3696,3418,3565,3500
舞鶴,4320,4058,3724,3627,3781,3866,3133,3609,3735,3560,3637,3590
大湊,4104,3667,3474,3266,3444,3604,2490,3351,3563,2860,3380,2989
トラック,4066,3664,3476,3379,3360,3609,2344,3363,3625,3236,3343,3297
リンガ,4082,3714,3461,3249,3441,3602,2360,3296,3596,3131,3341,3079
ラバウル,4170,3786,3581,3444,3510,3714,2555,3438,3667,3317,3435,3496
ショートランド,4156,3719,3508,3331,3469,3670,2408,3372,3603,3118,3396,3307
ブイン,4116,3612,3483,3310,3443,3595,2315,3416,3593,3073,3373,3142
タウイタウイ,4107,3703,3500,3348,3355,3596,2163,3290,3576,3103,3367,3082
パラオ,4100,3681,3546,3326,3426,3662,2378,3294,3624,3251,3380,3418
ブルネイ,4013,3590,3332,3313,3297,3567,2161,3238,3527,2908,3365,3011
単冠湾,4109,3666,3488,3409,3408,3612,2276,3368,3611,3163,3340,3393
幌筵,4075,3546,3477,3073,3379,3569,2093,3400,3599,2778,3308,2976
宿毛湾,4124,3642,3426,3256,3363,3573,2210,3301,3548,3104,3288,3116
鹿屋,4094,3690,3557,3412,3441,3660,2529,3388,3620,3160,3344,3312
岩川,4082,3507,3430,3346,3369,3596,2223,3303,3584,3083,3253,2998
佐伯湾,4073,3570,3433,3155,3269,3549,2194,3242,3532,2746,3100,3215
柱島,4518,4322,3912,3778,3939,4074,3474,3759,4023,3744,3743,3789
2019,联合
服务器,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
横須賀,7236,8412,8782,7208,7250,5881,6852,9019,6105,9200,9538,7879
呉,6708,1008,8413,8164,7824,6058,7510,9018,7308,8409,9121,7802
佐世保,7937,8239,7647,6783,7287,5883,7227,7447,7324,8282,7983,7702
舞鶴,7691,9298,8686,9167,7109,6704,6100,8080,8081,7648,9720,6302
大湊,6952,1181,9456,6885,7936,6248,7492,8414,6355,9380,8324,7126
トラック,7503,8587,7565,6860,6961,6418,8206,8637,7571,1070,8020,8270
リンガ,6724,8441,7879,7314,7544,6161,6494,7658,6823,7723,1017,7342
ラバウル,7108,9120,8957,8570,1068,6029,7445,7581,6360,9117,1000,7811
ショートランド,7645,9217,8793,9300,1000,6669,6509,7873,6787,1025,1151,5716
ブイン,7284,8164,6741,6733,6518,5753,6851,7253,null,8056,7898,6330
タウイタウイ,7435,8485,9272,8525,7947,6822,7529,7832,5880,9212,8768,6043
パラオ,6837,7388,7775,7198,8939,6101,7218,9181,6084,9292,8232,8141
ブルネイ,7737,8651,6922,7088,6552,5229,6001,8290,7347,7137,7800,5802
単冠湾,7133,8610,8142,8336,7879,6666,7617,8635,7306,8972,9457,6762
幌筵,6619,9187,8751,7456,7273,7447,8550,8542,7908,8136,8506,8336
宿毛湾,6964,9478,7590,6449,7708,5536,9380,7720,7494,8224,8751,7101
鹿屋,6564,9812,7433,9557,8700,6113,6630,7477,7261,8472,1225,6559
岩川,7052,7315,5977,7130,7162,6128,6106,7596,6005,7715,8704,7428
佐伯湾,7948,6605,6124,7946,5966,7157,7470,8396,7636,9723,8931,8521
柱島,1115,9761,9290,9715,8807,7674,8758,1000,8802,1102,9659,9081
2019,1群
服务器,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
横須賀,4862,6111,5598,4881,4757,4503,5512,6277,5180,5812,6749,4764
呉,5436,6705,5794,4990,5062,4844,5678,6409,5239,6849,6847,4744
佐世保,5460,6469,5734,5317,5608,4816,5461,5862,5026,6465,6613,5159
舞鶴,5142,6193,5833,5738,5153,4444,5304,6196,5286,6125,6506,5124
大湊,5087,6337,5676,5318,5237,4228,5573,5767,5283,6820,5704,4479
トラック,5541,5594,5272,5128,5254,4480,5199,6033,5098,7761,6840,4823
リンガ,5009,6653,5239,5098,5301,4145,5284,5669,4871,6179,6613,4980
ラバウル,5287,5705,5128,5035,5222,4442,5273,5436,4856,5959,5674,4716
ショートランド,5457,5827,5720,5248,7164,4566,4758,5612,4470,5729,6896,4491
ブイン,4655,5185,4999,5000,4610,3847,4785,5151,4713,5634,5346,4441
タウイタウイ,5396,6349,5469,5895,5240,4440,5591,5946,4976,6212,6205,4624
パラオ,4956,5798,4802,4875,4880,4509,4861,5966,5042,6141,6049,4884
